l3_id,l0,l1,l2,l3,definition,all_mass,all_docs,korea_mass,korea_docs
POLICY-REF-0385,Policy,AI policy and governance,AI cybersecurity and resilience,Safe-by-Design,"사후 보완적 패치 방식을 탈피하고, 아키텍처의 설계 초기 단계부터 오작동 방지 가드레일과 안전성 검증 메커니즘을 하드웨어 및 소프트웨어 내부에 고정하여 개발하는 공학적 접근법이다.",0.7827198484669762,4,0.0,0
POLICY-REF-0090,Policy,AI policy and governance,"AI economy, labor, and industrial policy",competition policy,시장의 공정 경쟁을 보장하는 정책.,1.7728859442333649,9,0.0,0
POLICY-REF-0261,Policy,AI policy and governance,"AI economy, labor, and industrial policy",industrial policy,특정 산업 육성을 위한 국가 전략.,0.800383807102348,4,0.0,0
POLICY-REF-0297,Policy,AI policy and governance,"AI economy, labor, and industrial policy",market concentration,소수 기업으로 시장 지배력이 집중되는 현상.,2.0,2,0.0,0
POLICY-REF-0437,Policy,AI policy and governance,"AI economy, labor, and industrial policy",techno-nationalism,기술 우위를 국가 안보·경쟁력의 핵심으로 보는 정책 기조.,1.9330774707968117,10,0.0,0
POLICY-REF-0443,Policy,AI policy and governance,"AI economy, labor, and industrial policy",technology transfer,국가·기업 간 기술 이전.,0.7896889573139974,4,0.0,0
POLICY-REF-0067,Policy,AI policy and governance,AI ethics and human-centered governance,beneficence,AI가 인간과 사회에 이로움을 주어야 한다는 원칙.,0.1971466678949694,1,0.0,0
POLICY-REF-0138,Policy,AI policy and governance,AI ethics and human-centered governance,democratic oversight,민주적 절차에 의한 AI 감독.,4.334814055193997,22,0.0,0
POLICY-REF-0185,Policy,AI policy and governance,AI ethics and human-centered governance,ethical impact assessment,시스템의 윤리적 영향을 사전 평가하는 절차.,1.4542062892086172,3,0.0,0
POLICY-REF-0072,Policy,AI policy and governance,AI safety and risk management,capability evaluation,모델이 보유한 능력의 범위·한계를 측정하는 평가.,0.3876810564946581,2,0.0,0
POLICY-REF-0076,Policy,AI policy and governance,AI safety and risk management,catastrophic risk,광범위하고 회복 불가능한 대규모 피해를 초래하는 위험.,0.3969647235817801,2,0.0,0
POLICY-REF-0195,Policy,AI policy and governance,AI safety and risk management,existential risk,인류의 존속 자체를 위협할 수 있는 극단적 위험.,0.4069330598192444,2,0.0,0
POLICY-REF-0378,Policy,AI policy and governance,AI safety and risk management,risk assessment,위험의 발생 가능성과 영향을 체계적으로 식별·평가하는 절차.,0.2028262591450352,1,0.0,0
POLICY-REF-0380,Policy,AI policy and governance,AI safety and risk management,risk mitigation,식별된 위험을 줄이거나 통제하기 위한 조치.,0.394007600793047,2,0.0,0
POLICY-REF-0381,Policy,AI policy and governance,AI safety and risk management,risk tiering,위험 수준에 따라 시스템을 등급화하는 분류 체계.,0.1992544852709329,1,0.0,0
POLICY-REF-0382,Policy,AI policy and governance,AI safety and risk management,robustness testing,다양한 조건·교란에서 시스템 안정성을 검증하는 시험.,0.4080472645598303,2,0.0,0
POLICY-REF-0433,Policy,AI policy and governance,AI safety and risk management,systemic risk,개별 시스템을 넘어 사회·경제 전반에 파급되는 구조적 위험.,0.7834559852595346,4,0.0,0
POLICY-REF-0073,Policy,AI policy and governance,AI security and critical infrastructure,Capability thresholds,"정책문서에서 '역량 임계값' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.8080255456587669,4,0.0,0
POLICY-REF-0108,Policy,AI policy and governance,AI security and critical infrastructure,Cyber resilience,"정책문서에서 '사이버 복원력' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",2.502728111899034,12,0.0,0
POLICY-REF-0111,Policy,AI policy and governance,AI security and critical infrastructure,Cybersecurity by design,"정책문서에서 '설계단계 보안' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",2.5986581393763357,10,0.0,0
POLICY-REF-0114,Policy,AI policy and governance,AI security and critical infrastructure,Data access governance,"정책문서에서 '데이터 접근 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",6.631712949311873,24,0.0,0
POLICY-REF-0173,Policy,AI policy and governance,AI security and critical infrastructure,Environmental impact assessment,"정책문서에서 '환경영향평가' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.9030797418050752,3,0.0,0
POLICY-REF-0175,Policy,AI policy and governance,AI security and critical infrastructure,Environmental sustainability,"정책문서에서 '환경 지속가능성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",6.443512037297432,9,0.0,0
POLICY-REF-0190,Policy,AI policy and governance,AI security and critical infrastructure,Evaluation benchmarks,"정책문서에서 '평가 벤치마크' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3887720516998157,2,0.0,0
POLICY-REF-0210,Policy,AI policy and governance,AI security and critical infrastructure,Foundation model governance,"정책문서에서 '파운데이션 모델 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.5260270542114693,2,0.0,0
POLICY-REF-0367,Policy,AI policy and governance,AI security and critical infrastructure,Research security,"정책문서에서 '연구 보안' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",4.220552246783559,10,0.0,0
POLICY-REF-0083,Policy,AI policy and governance,"AI, rights, and biometrics",Civil rights safeguards,"정책문서에서 '시민권 보호장치' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3894406224078419,2,0.0,0
POLICY-REF-0115,Policy,AI policy and governance,"AI, rights, and biometrics",Data altruism,"정책문서에서 '데이터 이타주의' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.1955194937529533,1,0.0,0
POLICY-REF-0136,Policy,AI policy and governance,"AI, rights, and biometrics",Democratic accountability,"정책문서에서 '민주적 책임성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4923671906531532,1,0.0,0
POLICY-REF-0148,Policy,AI policy and governance,"AI, rights, and biometrics",Digital rights,"정책문서에서 '디지털 권리' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",3.34216423142784,13,0.0,0
POLICY-REF-0158,Policy,AI policy and governance,"AI, rights, and biometrics",Diversity and inclusion,"정책문서에서 '다양성과 포용' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4010274622238443,2,0.0,0
POLICY-REF-0170,Policy,AI policy and governance,"AI, rights, and biometrics",Employment impacts,"정책문서에서 '고용 영향' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",3.39855092814544,14,0.0,0
POLICY-REF-0178,Policy,AI policy and governance,"AI, rights, and biometrics",Equal access,"정책문서에서 '평등한 접근' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3997239876569423,2,0.0,0
POLICY-REF-0196,Policy,AI policy and governance,"AI, rights, and biometrics",Expert systems accountability,"정책문서에서 '전문가시스템 책임성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.5933087183996425,3,0.0,0
POLICY-REF-0204,Policy,AI policy and governance,"AI, rights, and biometrics",Fair exposure,"정책문서에서 '공정 노출' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3918166608211149,2,0.0,0
POLICY-REF-0267,Policy,AI policy and governance,"AI, rights, and biometrics",Institutional review,"정책문서에서 '기관 심의' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",3.64265672271611,6,0.0,0
POLICY-REF-0274,Policy,AI policy and governance,"AI, rights, and biometrics",International standards,"정책문서에서 '국제 표준' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3997879235170352,2,0.0,0
POLICY-REF-0283,Policy,AI policy and governance,"AI, rights, and biometrics",Labour market transition,"정책문서에서 '노동시장 전환' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.7780338080931564,4,0.0,0
POLICY-REF-0287,Policy,AI policy and governance,"AI, rights, and biometrics",Legal certainty,"정책문서에서 '법적 명확성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4032190666925593,2,0.0,0
POLICY-REF-0304,Policy,AI policy and governance,"AI, rights, and biometrics",Model monitoring,"정책문서에서 '모델 모니터링' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",3.0372872505471453,13,0.0,0
POLICY-REF-0305,Policy,AI policy and governance,"AI, rights, and biometrics",Model risk management,"정책문서에서 '모델 위험관리' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.7859953175827735,4,0.0,0
POLICY-REF-0345,Policy,AI policy and governance,"AI, rights, and biometrics",Public accountability,"정책문서에서 '공공 책임성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3936307847255249,2,0.0,0
POLICY-REF-0349,Policy,AI policy and governance,"AI, rights, and biometrics",Public safety,"정책문서에서 '공공 안전' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3975356220710885,2,0.0,0
POLICY-REF-0351,Policy,AI policy and governance,"AI, rights, and biometrics",Public sector algorithm registers,"정책문서에서 '공공부문 알고리즘 등록부' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4134665842524212,2,0.0,0
POLICY-REF-0364,Policy,AI policy and governance,"AI, rights, and biometrics",Regulatory impact assessment,"정책문서에서 '규제영향평가' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3997333534811696,2,0.0,0
POLICY-REF-0412,Policy,AI policy and governance,"AI, rights, and biometrics",Stakeholder participation,"정책문서에서 '이해관계자 참여' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",2.726245297927598,5,0.0,0
POLICY-REF-0421,Policy,AI policy and governance,"AI, rights, and biometrics",Supply-chain transparency,"정책문서에서 '공급망 투명성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",1.7989147139253874,5,0.0,0
POLICY-REF-0431,Policy,AI policy and governance,"AI, rights, and biometrics",Synthetic media labelling,"정책문서에서 '합성미디어 라벨링' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4046391798246089,2,0.0,0
POLICY-REF-0436,Policy,AI policy and governance,"AI, rights, and biometrics",Technical robustness,"정책문서에서 '기술적 강건성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.5890889238514392,3,0.0,0
POLICY-REF-0457,Policy,AI policy and governance,"AI, rights, and biometrics",Transparency obligations,"정책문서에서 '투명성 의무' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.593730894330444,3,0.0,0
POLICY-REF-0470,Policy,AI policy and governance,"AI, rights, and biometrics",Welfare impacts,"정책문서에서 '후생 영향' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.8910189171476958,4,0.0,0
POLICY-REF-0179,Policy,AI policy and governance,Algorithmic fairness and bias governance,Equal opportunity,"고용, 교육, 금융 등의 부문에서 사용되는 알고리즘이 과거의 누적된 차별적 데이터를 답습하지 않고 모든 지원자에게 공정한 시작선을 제공하는 원칙이다.",5.188879371013306,26,0.0,0
POLICY-REF-0284,Policy,AI policy and governance,Algorithmic fairness and bias governance,Labour rights in the gig economy,알고리즘 플랫폼에 의해 고용되어 상시 감시와 평점 압박을 받는 호출형·단기 노동자들의 최저임금 보장 및 단체행동권을 수호하려는 움직임이다.,5.704995694627707,27,0.0,0
POLICY-REF-0181,Policy,AI policy and governance,Algorithmic fairness and bias governance,equity and inclusion,형평성과 포용성을 보장하려는 정책적 지향.,1.3905618553822636,3,0.0,0
POLICY-REF-0188,Policy,AI policy and governance,Algorithmic fairness and bias governance,ethics washing,실질적 변화 없이 윤리를 표방하며 규제를 회피하려는 행태.,0.2005209918239256,1,0.0,0
POLICY-REF-0258,Policy,AI policy and governance,Algorithmic fairness and bias governance,inclusion and accessibility,다양한 집단의 접근성과 포용을 보장하는 가치.,0.3780865222502996,2,0.0,0
POLICY-REF-0068,Policy,AI policy and governance,Algorithmic fairness and bias mitigation,bias mitigation,데이터·모델의 편향을 식별하고 완화하는 조치.,1.5961460689295042,8,0.0,0
POLICY-REF-0448,Policy,AI policy and governance,Algorithmic transparency and accountability,Third-party auditing,"인공지능 개발사와 직접적인 이해관계가 없는 공인된 독립 기관이 알고리즘의 공정성 소스코드, 데이터 편향성, 정보 보호 준수 여부를 객관적으로 조사하고 공식 평가서를 발행하는 검증 제도이다.",0.3952297224190246,2,0.0,0
POLICY-REF-0002,Policy,AI policy and governance,Algorithmic transparency and accountability,accountability gap,책임 주체가 불분명해 발생하는 책무성 공백.,0.4979189558204649,2,0.0,0
POLICY-REF-0038,Policy,AI policy and governance,Algorithmic transparency and accountability,algorithmic accountability,알고리즘 결과에 대해 책임 주체를 규명·부과하는 원칙.,0.3920953915897972,2,0.0,0
POLICY-REF-0055,Policy,AI policy and governance,Algorithmic transparency and accountability,auditability,시스템을 외부에서 검사·감사할 수 있는 가능성.,1.1824449044743837,6,0.0,0
POLICY-REF-0159,Policy,AI policy and governance,Algorithmic transparency and accountability,documentation requirements,시스템 설계·데이터·성능을 문서화하도록 하는 규제 요건.,1.1742739754952238,3,0.0,0
POLICY-REF-0302,Policy,AI policy and governance,Algorithmic transparency and accountability,model cards,모델의 용도·성능·한계를 표준화해 기술한 문서.,0.20056234249701,1,0.0,0
POLICY-REF-0118,Policy,AI policy and governance,Data governance and digital sovereignty,Data Dignity,데이터를 단순한 상품이 아닌 개인의 인격과 노동의 연장선으로 보아 데이터 생산자에게 정당한 보상과 통제권을 부여해야 한다는 사상이다.,2.744732012559101,12,0.0,0
POLICY-REF-0120,Policy,AI policy and governance,Data governance and digital sovereignty,Data Governance Act,데이터의 공익적 재활용을 장려하고 데이터 중개 서비스의 신뢰성을 높이기 위해 제정된 제도적 규제 프레임워크이다.,11.335987429065662,46,0.0,0
POLICY-REF-0117,Policy,AI policy and governance,Data governance and digital sovereignty,Data colonialism,글로벌 빅테크 기업들이 취약 지역의 데이터를 무차별적으로 수집·추출하여 경제적 이익을 독점하고 원주민의 데이터 주권을 침해하는 현상이다.,1.3982565674649718,7,0.0,0
POLICY-REF-0121,Policy,AI policy and governance,Data governance and digital sovereignty,Data localisation,국가 안보와 자국민의 프라이버시 보호를 위해 데이터의 물리적 저장 위치를 자국 영토 내로 제한하는 법적 규제이다.,2.8174534239997917,6,0.0,0
POLICY-REF-0221,Policy,AI policy and governance,Data governance and digital sovereignty,General Data Protection Regulation,"유럽연합이 제정한 세계 최고 수준의 데이터 보호법으로, 자동화된 프로파일링에 거부할 권리와 설명요구권을 명시하고 있다.",9.015836703533571,39,0.0,0
POLICY-REF-0315,Policy,AI policy and governance,Data governance and digital sovereignty,Neocolonialism in Data,풍부한 자본과 인프라를 지닌 서구 빅테크 기업들이 글로벌 사우스 국가의 저임금 노동력을 활용하여 데이터를 정제하고 정작 주권은 왜곡하는 비대칭적 경제 착취 구조이다.,3.4358444395950554,16,0.0,0
POLICY-REF-0356,Policy,AI policy and governance,Data governance and digital sovereignty,Recommender System Regulation,소셜 미디어와 이커머스의 알고리즘이 사용자의 체류 시간 극대화를 위해 확증 편향을 유도하고 유해 콘텐츠를 중독적으로 노출하는 행위를 억제하는 거버넌스 조치이다.,0.8016471279632618,4,0.0,0
POLICY-REF-0402,Policy,AI policy and governance,Data governance and digital sovereignty,Social Credit Systems,정부가 알고리즘을 통해 시민들의 온·오프라인 행동 데이터를 상시 수집하고 이를 정량적 점수로 환원하여 사회적 혜택을 차등 배분하거나 통제하는 기만적인 감시 체제이다.,8.69865809212944,24,0.0,0
POLICY-REF-0455,Policy,AI policy and governance,Data governance and digital sovereignty,Transnational Norms,개별 국가의 경계를 넘어 글로벌 디지털 생태계 전체 구성원이 공통의 행동 지침으로 자발적·제도적으로 수용하고 공유하는 조화로운 정책 규범 체계이다.,1.7148188431432596,8,0.0,0
POLICY-REF-0106,Policy,AI policy and governance,Data protection and privacy,cross-border data flows,국경을 넘는 데이터의 이동.,2.80532675656635,10,0.0,0
POLICY-REF-0122,Policy,AI policy and governance,Data protection and privacy,data localization,데이터를 자국 영역 내에 저장·처리하도록 요구하는 규제.,1.1824493906814315,6,0.0,0
POLICY-REF-0128,Policy,AI policy and governance,Data protection and privacy,data quality,데이터의 정확성·완전성·대표성 등 품질 수준.,0.1976803381393657,1,0.0,0
POLICY-REF-0129,Policy,AI policy and governance,Data protection and privacy,data sovereignty,데이터가 수집된 국가의 법·관할에 종속된다는 원칙.,0.8037830555116389,4,0.0,0
POLICY-REF-0264,Policy,AI policy and governance,Data protection and privacy,informed consent,충분한 정보를 바탕으로 데이터 처리에 동의하는 절차.,1.4033237273518282,3,0.0,0
POLICY-REF-0400,Policy,AI policy and governance,Data protection and privacy,sensitive data,건강·신념 등 특별히 강화된 보호가 필요한 민감 정보.,0.8801244491079887,4,0.0,0
POLICY-REF-0097,Policy,AI policy and governance,Digital rights and legal frameworks,Consent in Data Collection,"개인정보나 저작물을 알고리즘 학습에 활용하기 전, 정보 주체로부터 명시적이고 자유로운 동의를 얻어야 하는 법적 원칙이다.",0.4041629689003306,2,0.0,0
POLICY-REF-0176,Policy,AI policy and governance,Digital rights and legal frameworks,Epistemic Injustice,특정 지역이나 소외 계층의 지식이 인공지능 데이터 세트에서 배제됨으로써 그들의 지식 권리와 발언권이 무력화되는 현상이다.,0.4839548552886393,2,0.0,0
POLICY-REF-0212,Policy,AI policy and governance,Digital rights and legal frameworks,Freedom of Information,"공공 정책에 도입된 자동화 시스템의 사양, 평가지표, 데이터 소스를 시민들이 열람하고 검증할 수 있도록 보장하는 권리이다.",0.4923752624478402,2,0.0,0
POLICY-REF-0241,Policy,AI policy and governance,Digital rights and legal frameworks,Human Agency and Oversight,인공지능의 보편적 도입 환경 속에서도 최종적인 의사결정의 주체성과 시스템의 통제 권한은 반드시 인간에게 유보되어야 한다는 규범이다.,0.8167770552896982,4,0.0,0
POLICY-REF-0384,Policy,AI policy and governance,Digital rights and legal frameworks,Rule of Law in Cyberspace,"플랫폼 권력이나 빅테크의 사적 가이드라인이 법치주의 위에 군림할 수 없으며, 디지털 영역과 알고리즘 생태계 내에서도 헌법과 정당한 법률 원칙이 철저히 지배해야 한다는 사상이다.",1.1775432472735732,6,0.0,0
POLICY-REF-0154,Policy,AI policy and governance,Disinformation and information integrity,disinformation,의도적으로 유포되는 허위 정보.,1.5312897423974534,8,0.0,0
POLICY-REF-0024,Policy,AI policy and governance,Institutional AI governance,AI impact assessment,"정책문서에서 'AI 영향평가' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.5931620205830515,3,0.0,0
POLICY-REF-0030,Policy,AI policy and governance,Institutional AI governance,AI procurement standards,"정책문서에서 'AI 조달 표준' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3950195634749307,2,0.0,0
POLICY-REF-0230,Policy,AI policy and governance,International AI governance coordination,Global South Representation,"인공지능의 데이터, 개발 주체, 정책 수립 과정에서 비서구권 개발도상국들의 문화적 가치와 이익이 소외되지 않도록 보장하는 원칙이다.",6.4623653683050355,32,0.0,0
POLICY-REF-0418,Policy,AI policy and governance,International AI governance coordination,strategic autonomy,핵심 기술에 대한 대외 의존을 줄이려는 전략적 자율성.,2.367550159229274,11,0.0,0
POLICY-REF-0291,Policy,AI policy and governance,Liability and fundamental rights,liability allocation,여러 주체 간 책임을 배분하는 문제.,0.202337746234585,1,0.0,0
POLICY-REF-0383,Policy,AI policy and governance,Liability and fundamental rights,rule of law,권력 행사가 법에 따라 이루어져야 한다는 원칙.,0.2030886810161864,1,0.0,0
POLICY-REF-0147,Policy,AI policy and governance,Participatory and inclusive AI governance,digital public infrastructure,사회 전반이 활용하는 공공 디지털 기반시설.,1.7861065296405043,9,0.0,0
POLICY-REF-0232,Policy,AI policy and governance,Participatory and inclusive AI governance,governance capacity,거버넌스를 실행할 수 있는 제도적·인적 역량.,0.7857789279040444,4,0.0,0
POLICY-REF-0278,Policy,AI policy and governance,Participatory and inclusive AI governance,interoperable governance,국가 간 규제 체계가 상호 연계되는 거버넌스.,0.9864026797316616,5,0.0,0
POLICY-REF-0310,Policy,AI policy and governance,Participatory and inclusive AI governance,multi-stakeholder governance,정부·기업·시민사회·학계 등 다양한 이해관계자가 참여하는 거버넌스.,1.0300972789009126,4,0.0,0
POLICY-REF-0326,Policy,AI policy and governance,Participatory and inclusive AI governance,participatory governance,시민 참여를 통한 거버넌스.,3.539316493694652,11,0.0,0
POLICY-REF-0328,Policy,AI policy and governance,Participatory and inclusive AI governance,platform power,디지털 플랫폼이 보유한 시장·정보 지배력.,0.6053896249698149,3,0.0,0
POLICY-REF-0346,Policy,AI policy and governance,Participatory and inclusive AI governance,public engagement,정책 형성에 대중을 참여시키는 활동.,0.732375319779379,3,0.0,0
POLICY-REF-0348,Policy,AI policy and governance,Participatory and inclusive AI governance,public-private partnership,공공·민간 협력을 통한 정책 추진.,1.0396501662653104,5,0.0,0
POLICY-REF-0184,Policy,AI policy and governance,Responsible AI and compliance,Ethical Design,개발 단계에서부터 편향 완화 알고리즘을 탑재하고 인간의 자율성을 존중하도록 시스템 메커니즘을 내재화하여 구현하는 엔지니어링 방법론이다.,0.398519872629344,2,0.0,0
POLICY-REF-0260,Policy,AI policy and governance,Responsible AI and compliance,Inclusive innovation,"기술 발전의 과실이 소수 대기업과 자본가에게 집중되지 않고, 사회 전체의 지속 가능한 균형 발전과 불평등 해소에 기여하도록 유도하는 국가 혁신 정책이다.",13.15454375090082,55,0.0,0
POLICY-REF-0341,Policy,AI policy and governance,Responsible AI and compliance,Product Liability Directive,"유럽연합 등에서 전통적인 하드웨어 제조물 책임을 소프트웨어와 인공지능 시스템까지 확장하여, 제품 결함으로 발생한 피해에 대해 무과실 책임을 부과하려는 법적 지침이다.",8.024549738231633,24,0.0,0
POLICY-REF-0096,Policy,AI policy and governance,Risk-based AI regulation and oversight,conformity assessment,제품·시스템이 규제 요건에 부합하는지 검증하는 적합성 평가 절차.,0.1977757118273094,1,0.0,0
POLICY-REF-0161,Policy,AI policy and governance,Risk-based AI regulation and oversight,dual-use export regime,이중용도 기술의 수출을 통제하는 국제 체제.,1.7113788863052746,8,0.0,0
POLICY-REF-0199,Policy,AI policy and governance,Risk-based AI regulation and oversight,export controls,안보 목적의 기술·부품 수출 통제.,1.975860559450214,10,0.0,0
POLICY-REF-0256,Policy,AI policy and governance,Risk-based AI regulation and oversight,impact assessment,정책·시스템의 영향을 사전 평가하는 도구.,0.8914036412630171,4,0.0,0
POLICY-REF-0329,Policy,AI policy and governance,Risk-based AI regulation and oversight,policy experimentation,정책을 시범적으로 시험·평가하는 접근.,0.3951286703735615,2,0.0,0
POLICY-REF-0363,Policy,AI policy and governance,Risk-based AI regulation and oversight,regulatory impact analysis,규제 도입의 비용·편익을 분석하는 절차.,0.804769612452577,4,0.0,0
POLICY-REF-0446,Policy,AI policy and governance,Risk-based AI regulation and oversight,the Brussels effect,EU 규제가 사실상 글로벌 표준으로 확산되는 규제 파급 효과.,5.228972295036778,13,0.0,0
POLICY-REF-0460,Policy,AI policy and governance,STS and philosophy of AI,Turing Test Legacy,"1950년 앨런 튜링이 제안한 기계의 사고 능력 판별 시험으로, 인간과 구별할 수 없는 수준의 지능 구현이라는 목표를 설정하여 인공지능 연구의 철학적·발전적 이정표가 된 유서 깊은 유산이다.",0.6178729262310445,3,0.0,0
